AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2021;3;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8372;JUAN DE ACOSTA;N;8372003;SAN JOSÉ DE SAC;N;N;N;N;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;N;8638007;MIRADOR;S;S;S;S;N;N
2021;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8433;MALAMBO;N;8433001;CARACOL�;S;N;N;N;N;N
2021;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8560;PONEDERA;S;8560000;PONEDERA;S;S;S;S;N;N
2023;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244000;EL CARMEN DE BOLÍVA;S;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430049;ROMA;S;S;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442000;MARÍA LA BAJ;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442008;SAN PABLO;S;S;S;S;N;N
2021;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;0;ISLAS DEL ROSARIO;S;S;N;N;N;N
2022;2;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8638;SABANALARGA;S;8638000;SABANALARGA;N;S;S;S;N;N
2022;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13300;HATILLO DE LOBA;S;13300000;HATILLO DE LOBA;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8549;PIOJ�;N;8549001;AGUAS VIVAS;S;S;S;N;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832007;CORRAL DE SAN LUIS;S;N;N;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13440;MARGARITA;N;13440014;CAÑO MON;N;N;N;N;N;N
